Total,Abertas,Fechadas,Faixa
"1997","1929","68","2019-07-01 23:59:59 até 2020-01-01 23:59:59"
"1652","1610","42","2019-01-01 23:59:59 até 2019-07-01 23:59:59"
"1347","1326","21","2018-07-01 23:59:59 até 2019-01-01 23:59:59"
"1099","1087","12","2018-01-01 23:59:59 até 2018-07-01 23:59:59"
"813","804","9","2017-07-01 23:59:59 até 2018-01-01 23:59:59"
"591","574","17","2017-01-01 23:59:59 até 2017-07-01 23:59:59"
"365","352","13","2016-07-01 23:59:59 até 2017-01-01 23:59:59"
"177","176","1","2016-01-01 23:59:59 até 2016-07-01 23:59:59"
"89","87","2","2015-07-01 23:59:59 até 2016-01-01 23:59:59"
"1","0","1","2015-01-01 00:00:00 até 2015-07-01 23:59:59"
